## dpkg packages
7zip	25.01+dfsg-1~deb13u1
python3-referencing	0.36.2-1
python3-requests	2.32.3+dfsg-5+deb13u1
python3-rfc3339-validator	0.1.4-2
python3-rfc3986-validator	0.1.1-2
python3-rfc3987	1.3.8-3
python3-rich	13.9.4-1
python3-rpds-py	0.21.0-2+b1
python3-rpi.gpio	0.7.1~a4-1.2
python3-setuptools-whl	78.1.1-0.1
python3-smbus2	0.4.3-1
python3-spidev	3.6-1+b6
python3-typeshed	0.0~git20241223.ea91db2-1
python3-uc-micro	1.0.3-1
python3-uritemplate	4.1.1-3
python3-urllib3	2.3.0-3+deb13u1
python3-venv	3.13.5-1
python3-webcolors	1.13-1
python3-wheel	0.46.1-2
python3-yaml	6.0.2-1+b2
python3.13	3.13.5-2
python3.13-dev	3.13.5-2
python3.13-minimal	3.13.5-2
python3.13-venv	3.13.5-2
raspberrypi-archive-keyring	2025.1+rpt1
raspberrypi-net-mods	1.4.4
raspberrypi-sys-mods	1:20260315
raspi-config	20260303
raspi-config-core	20260303
raspi-firmware	1:1.20260513-1
raspi-utils	20260304+1-1
raspi-utils-core	20260304+1-1
raspi-utils-dt	20260304+1-1
raspi-utils-eeprom	20260304+1-1
raspi-utils-otp	20260304+1-1
raspinfo	20260304+1-1
readline-common	8.2-6
rfkill	2.41-5
rpcsvc-proto	1.4.3-1+b1
rpi-cloud-init-mods	1:20260119
rpi-connect-lite	2.11.0
rpi-eeprom	28.17-1
rpi-keyboard-config	1.0
rpi-keyboard-fw-update	1.0.1
rpi-loop-utils	1.2.2
rpi-swap	1.2.2
rpi-systemd-config	1.1.1
rpi-update	20230904
rpi-usb-gadget	1.0.6
rpi.gpio-common	0.7.1~a4-1.2
rpicam-apps-core	1.12.0-1
rpicam-apps-lite	1.12.0-1
rpifwcrypto	20260304+1-1
rsync	3.4.1+ds1-5+deb13u1
runit-helper	2.16.4
sed	4.9-2+b1
sensible-utils	0.0.25
sgml-base	1.31+nmu1
shared-mime-info	2.4-5+b2
sq	1.3.1-2+b2
sqv	1.3.0-3+b2
ssh	1:10.0p1-7+deb13u2
ssh-import-id	5.10-3
strace	6.13+ds-1
sudo	1.9.16p2-3+deb13u1
systemd	257.9-1~deb13u1
systemd-sysv	257.9-1~deb13u1
systemd-timesyncd	257.9-1~deb13u1
systemd-zram-generator	1.2.1-2
sysvinit-utils	3.14-4
tar	1.35+dfsg-3.1
tzdata	2026a-0+deb13u1
ucf	3.0052
udev	257.9-1~deb13u1
udisks2	2.10.1-12.1+deb13u1
unzip	6.0-29
